;FRATEL;CEPT;ECC;CDMC;ETSI;IRG;ERG;OEA;ITU;FTTH Round Table
AA;0;0;0;0;0;0;0;0;0;0
AB;0;0;0;0;0;0;0;0;0;0
AC;0;0;0;0;0;0;0;0;0;0
AD;0;0;0;0;0;0;0;0;0;0
AE;1;1;1;0;1;1;1;0;1;1
AF;1;0;0;0;0;1;1;0;0;1
AG;0;0;0;0;0;0;0;0;0;0
AH;0;0;0;0;0;0;0;0;0;0
AI;0;0;0;0;0;0;0;0;0;0
AJ;0;0;0;0;1;0;0;0;1;0
AK;0;0;0;0;0;0;0;0;0;0
AL;0;0;0;0;0;0;0;0;0;0
AM;0;0;0;0;0;0;0;0;0;0
AN;0;0;0;0;0;0;0;0;0;0
AO;0;0;0;0;0;0;0;0;0;0
AP;0;0;0;0;0;0;0;0;0;0
AQ;0;0;0;0;0;0;0;0;0;0
AR;0;0;0;0;0;0;0;0;0;0
AS;0;0;0;0;0;0;0;0;0;0
AT;0;0;0;0;0;0;0;0;0;0
AU;0;0;0;0;0;0;0;0;0;0
AV;0;0;0;0;0;0;0;0;0;0
AW;0;0;0;0;0;0;0;0;0;0
AX;0;0;0;0;0;0;0;1;0;0
AY;0;0;0;0;1;0;0;0;1;1
AZ;0;0;0;0;0;0;0;0;0;0
BA;0;0;0;0;0;0;0;0;0;1
BB;0;0;0;0;0;1;1;0;1;1
BC;0;0;0;0;0;0;0;0;0;1
BD;0;0;0;0;0;1;1;0;0;1
BE;0;0;0;0;0;0;0;0;0;0
BF;0;1;0;0;1;0;1;0;1;1
BG;0;0;0;0;1;1;1;0;1;1
BH;0;0;0;0;0;0;0;0;0;0
BI;0;0;0;0;0;0;0;0;0;0
BJ;0;0;0;0;0;0;0;0;0;0
BK;0;0;0;0;0;0;0;0;0;0
BL;0;0;0;0;0;0;0;0;0;0
