"org","type3","type5","committees","dm","betweenness"
"AA","private","private",1,0,9.77420507705543
"AB","private","private",0,0,0.09736832183388
"AC","private","private",0,0,1.03828124018148
"AD","private","private",1,0,1.35494003665025
"AE","private","private",1,0,0.297105902806615
"AF","private","private",1,0,0.818974726338147
"AG","private","private",1,0,0.0694994281692619
"AH","ngoassoc","ngo",1,0,0.99322600510249
"AI","private","private",1,0,6.24165115257752
"AJ","ngoassoc","ngo",1,0,0
"AK","ngoassoc","ngo",1,0,0
"AL","private","private",0,0,2.43996260623339
"AM","ngoassoc","ngo",1,0,0.413131998642688
"AN","private","private",1,0,4.30994623393673
"AO","private","private",0,0,1.27829832699191
"AP","public","party",1,1,8.305007651801
"AQ","public","party",0,1,1.9000595603921
"AR","public","party",1,1,0
"AS","public","party",0,1,0.109213387123126
"AT","public","party",1,1,0.265335746333371
"AU","public","science",0,0,0.449455532590925
"AV","public","science",0,0,0.0870313815681987
"AW","public","science",0,0,0
"AX","public","science",1,0,0.316894770576481
"AY","public","science",1,0,0.112920861139388
"AZ","public","science",1,0,0
"BA","ngoassoc","ngo",1,0,0.0527843758247559
"BB","ngoassoc","ngo",1,0,28.4495758486257
"BC","ngoassoc","ngo",1,0,0.19178323216328
"BD","public","gov",1,0,17.2309407404419
"BE","public","gov",1,0,10.1977030183681
"BF","public","gov",1,0,2.16560469529591
"BG","public","gov",0,1,0.968279103671028
"BH","public","gov",0,0,0.0708190375648808
